EntrySeqNo CPFile File isSelected
33 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30033.tif 1
38 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30038.tif 1
42 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30042.tif 1
28 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30028.tif 1
41 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30041.tif 1
47 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30047.tif 1
46 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30046.tif 1
48 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30048.tif 1
29 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30029.tif 1
37 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30037.tif 1
31 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30031.tif 0
49 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30049.tif 0
27 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30027.tif 0
50 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30050.tif 0
26 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30026.tif 0
43 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30043.tif 0
44 wing1018 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30044.tif 0
36 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30036.tif 0
39 wing1013 D:\HoulesLab\projects\SDV\ds\CRA\Gen5\M\small\dscra5m_30039.tif 0
22 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen6\F\small\dscra6f_30022.tif 1
6 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen6\F\small\dscra6f_30006.tif 1
3 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen6\F\small\dscra6f_30003.tif 1
16 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen6\F\small\dscra6f_30016.tif 1
11 wing1010 D:\HoulesLab\projects\SDV\ds\CRA\Gen6\F\small\dscra6f_30011.tif 1
7 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen6\F\small\dscra6f_30007.tif 1
17 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen6\F\small\dscra6f_30017.tif 1
